status,rt_counts
As president, I will increase funding for education and demand that profitable corporations start paying their fair share of taxes.,391
RT @gdebenedetti: MILWAUKEE — "Think of all the things that Governor Walker does, and I will do the opposite," says @BernieSanders https://…,335
Walker has provided huge tax breaks for corporations while making the largest cuts to education in Wisconsin history. He's got it backwards.,754
I say to Scott Walker: if you are afraid of fair and open elections, get out of politics and get another job.,1373
Under Gov. Walker, we are seeing massive efforts to make it harder for people to vote in Wisconsin. Absolutely wrong and unacceptable.,1175
RT @cascamike: "our country's future is brighter under a sanders presidency." https://t.co/kFA8k2ctyq,430
In 1980, Congress required credit unions to cap interest rates at 15 percent. It's time to extend this cap to every lender in America.,1039
RT @brianlogandales: We are honored. Come join us, @3OH3, and of course @BernieSanders! #BernInTheUSA https://t.co/HDEhszMo03 https://t.co/…,506
RT @ErikaAndiola: Comunicado de Sanders sobre Crisis de Deuda Puertorriqueñahttps://t.co/P5rRiNrMNG via @BernieSanders,231
We have got to stop credit card companies from ripping off the American people by charging sky-high interest rates of 20 or 30 percent.,1182
Volunteers and supporters all across the country are powering this political revolution. Thank you.https://t.co/KZdL6wu2bA,2630
RT @MSNBC: WATCH LIVE: @BernieSanders holds a “Future to Believe In” rally in Wisconsin: https://t.co/JhwI4IwnCl https://t.co/pRu06J7IQb,489
Wisconsin, make your voice heard by voting this Tuesday, April 5. https://t.co/zZvArkCOXO https://t.co/06mjcaYmuM,1267
Current status of the Clark County, Nevada credentials committee. https://t.co/TOeWl5iaaD,542
Campaign manager Jeff Weaver on Clark County, Nevada Democratic Convention: https://t.co/XPDR4dRSAs,1515
Change cannot take place without political participation.,2317
I believe firmly that we can accomplish great things in this country if millions of Americans begin to stand up and fight for real change.,2696
Wisconsin — you vote on Tuesday, April 5. Join the political revolution! #WIPrimary https://t.co/IGduQfdJKP,2906
Tune in to our rally in Green Bay, Wisconsin happening now: https://t.co/JGQx945CLb #WIPrimary,489
Puerto Rico shouldn't be asked to suffer even more so that a handful of wealthy investors can become even wealthier.https://t.co/LsrsAyrVkF,1639
