status,rt_counts
A GREAT DAY IN WISCONSIN!Thank you #Racine &amp; #Wausau! Just arrived in #EauClaire! #Trump2016#WIPrimary #TrumpTrain https://t.co/a0iKqNepD5,1741
.@FoxNews should be ashamed for allowing experts to explain how to make a nuclear attack!,3043
.@HeyTammyBruce- Thank you for your nice words on Fox today. They never use my full statements on nuclear, which you would agree with!,2294
Great honor to have @GOP General Counsel, #JohnRyder as a Trump delegate in TN. RNC meeting well worth it! Unifying the party!,2962
Join me on Monday, April 4th in Milwaukee! #WIPrimary #Trump2016Tickets: https://t.co/L0PmEwdRxn https://t.co/F7P4s6oAzN,2645
Wisconsin has suffered a great loss of jobs and trade, but if I win, all of the bad things happening in the U.S. will be rapidly reversed!,6446
I will be in Wisconsin until the election. Jobs, trade and immigration will be big factors. I will bring jobs back home - make great deals!,6130
If @megynkelly stopped covering me on her show, her ratings would drop like a rock! My h to h interview with @AC360 beat her by millions!,3740
Is it possible for @megynkelly to cover anyone but Donald Trump on her terrible show. She totally misrepresents my words and positions! BAD.,5740
MAKE AMERICA GREAT AGAIN! https://t.co/SULeDE2PYp,3667
Can you believe that Ted Cruz, who has been killing our country on trade for so long, just put out a Wisconsin ad talking about trade?,5575
We must build a great wall between Mexico and the United States! https://t.co/05SjuRJFbf,6582
My new radio ad, airing today in Wisconsin! See you soon!#WIPrimary #Trump2016 https://t.co/iEbcYqyk3i,4718
Does anybody like Lyin' Ted? https://t.co/h78ESEgEYg,3514
For the 1st time in American history, America’s 16,500 border patrol agents have issue a presidential primary endorsement—me! Thank you.,12208
The National Border Patrol Council (NBPC) said that our open border is the biggest physical &amp; economic threat facing the American people!,6851
The Club For Growth said in their ad that 465 delegates (Cruz) plus 143 delegates (Kasich) is more than my 739 delegates. Try again!,5073
The Club For Growth,which asked me for $1,000,000 in an extortion attempt, just put up a Wisconsin ad with incorrect math.What a dumb group!,5491
#MakeAmericaGreatAgain #Trump2016https://t.co/aANxirUJJD https://t.co/VlMynYN3sd,6046
THANK YOU, NEW YORK! #Trump2016 https://t.co/ONDROBrDwr,4873
